# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# Baseline: O(e^2) non-log + O(e^2) log summed into col 2;
# O(e^3) in col 3. Loader sums col 2 + col 3.
# T (MeV)           P_int (e^2+e^3) [MeV^4] p^(2)   p^(3)
4.000000E+01        -4.074250E+03        +3.628900E+02
3.996407E+01        -4.059653E+03        +3.615902E+02
3.992817E+01        -4.045055E+03        +3.602904E+02
3.989230E+01        -4.030556E+03        +3.590004E+02
3.985646E+01        -4.016055E+03        +3.577104E+02
3.982066E+01        -4.001658E+03        +3.564207E+02
3.978489E+01        -3.987261E+03        +3.551408E+02
3.974915E+01        -3.972962E+03        +3.538709E+02
3.971344E+01        -3.958762E+03        +3.526010E+02
3.967777E+01        -3.944566E+03        +3.513313E+02
3.964212E+01        -3.930364E+03        +3.500712E+02
3.960651E+01        -3.916266E+03        +3.488213E+02
3.957093E+01        -3.902167E+03        +3.475614E+02
3.953539E+01        -3.888172E+03        +3.463218E+02
3.949987E+01        -3.874271E+03        +3.450717E+02
3.946439E+01        -3.860374E+03        +3.438420E+02
3.942894E+01        -3.846476E+03        +3.426022E+02
3.939352E+01        -3.832677E+03        +3.413722E+02
3.935813E+01        -3.818878E+03        +3.401523E+02
3.932277E+01        -3.805178E+03        +3.389323E+02
3.928745E+01        -3.791580E+03        +3.377125E+02
3.925215E+01        -3.777979E+03        +3.365024E+02
3.921689E+01        -3.764381E+03        +3.352925E+02
3.918166E+01        -3.750882E+03        +3.340926E+02
3.914647E+01        -3.737386E+03        +3.328930E+02
3.911130E+01        -3.723986E+03        +3.316929E+02
3.907617E+01        -3.710688E+03        +3.305032E+02
3.904106E+01        -3.697287E+03        +3.293230E+02
3.900599E+01        -3.684089E+03        +3.281432E+02
3.897095E+01        -3.670790E+03        +3.269633E+02
3.893595E+01        -3.657694E+03        +3.257937E+02
3.890097E+01        -3.644495E+03        +3.246237E+02
3.886602E+01        -3.631394E+03        +3.234536E+02
3.883111E+01        -3.618397E+03        +3.222939E+02
3.879623E+01        -3.605399E+03        +3.211341E+02
3.876138E+01        -3.592500E+03        +3.199842E+02
3.872656E+01        -3.579602E+03        +3.188343E+02
3.869177E+01        -3.566802E+03        +3.176943E+02
3.865701E+01        -3.553903E+03        +3.165544E+02
3.862228E+01        -3.541202E+03        +3.154143E+02
3.858759E+01        -3.528505E+03        +3.142846E+02
3.855292E+01        -3.515805E+03        +3.131545E+02
3.851829E+01        -3.503206E+03        +3.120347E+02
3.848369E+01        -3.490608E+03        +3.109148E+02
3.844912E+01        -3.478109E+03        +3.097949E+02
3.841458E+01        -3.465611E+03        +3.086850E+02
3.838007E+01        -3.453211E+03        +3.075751E+02
3.834559E+01        -3.440811E+03        +3.064750E+02
3.831115E+01        -3.428415E+03        +3.053754E+02
3.827673E+01        -3.416114E+03        +3.042753E+02
3.824235E+01        -3.403817E+03        +3.031855E+02
3.820799E+01        -3.391616E+03        +3.020954E+02
3.817367E+01        -3.379517E+03        +3.010156E+02
3.813938E+01        -3.367320E+03        +2.999358E+02
3.810512E+01        -3.355221E+03        +2.988559E+02
3.807089E+01        -3.343222E+03        +2.977860E+02
3.803669E+01        -3.331223E+03        +2.967161E+02
3.800252E+01        -3.319224E+03        +2.956561E+02
3.796838E+01        -3.307324E+03        +2.945862E+02
3.793427E+01        -3.295524E+03        +2.935361E+02
3.790020E+01        -3.283628E+03        +2.924864E+02
3.786615E+01        -3.271828E+03        +2.914364E+02
3.783213E+01        -3.260127E+03        +2.903864E+02
3.779815E+01        -3.248430E+03        +2.893466E+02
3.776419E+01        -3.236729E+03        +2.883065E+02
3.773027E+01        -3.225131E+03        +2.872668E+02
3.769638E+01        -3.213633E+03        +2.862369E+02
3.766251E+01        -3.202033E+03        +2.852167E+02
3.762868E+01        -3.190534E+03        +2.841870E+02
3.759488E+01        -3.179136E+03        +2.831671E+02
3.756111E+01        -3.167738E+03        +2.821572E+02
3.752736E+01        -3.156336E+03        +2.811371E+02
3.749365E+01        -3.145037E+03        +2.801272E+02
3.745997E+01        -3.133739E+03        +2.791273E+02
3.742632E+01        -3.122440E+03        +2.781274E+02
3.739270E+01        -3.111241E+03        +2.771275E+02
3.735911E+01        -3.100141E+03        +2.761276E+02
3.732555E+01        -3.088943E+03        +2.751377E+02
3.729202E+01        -3.077844E+03        +2.741577E+02
3.725852E+01        -3.066844E+03        +2.731679E+02
3.722505E+01        -3.055845E+03        +2.721879E+02
3.719161E+01        -3.044847E+03        +2.712080E+02
3.715820E+01        -3.033947E+03        +2.702380E+02
3.712482E+01        -3.023048E+03        +2.692681E+02
3.709147E+01        -3.012149E+03        +2.683081E+02
3.705815E+01        -3.001349E+03        +2.673383E+02
3.702486E+01        -2.990650E+03        +2.663783E+02
3.699160E+01        -2.979852E+03        +2.654283E+02
3.695837E+01        -2.969152E+03        +2.644685E+02
3.692517E+01        -2.958552E+03        +2.635284E+02
3.689200E+01        -2.947855E+03        +2.625786E+02
3.685886E+01        -2.937354E+03        +2.616386E+02
3.682575E+01        -2.926756E+03        +2.606987E+02
3.679267E+01        -2.916257E+03        +2.597588E+02
3.675961E+01        -2.905854E+03        +2.588286E+02
3.672659E+01        -2.895357E+03        +2.578987E+02
3.669360E+01        -2.884958E+03        +2.569788E+02
3.666064E+01        -2.874659E+03        +2.560590E+02
3.662771E+01        -2.864262E+03        +2.551391E+02
3.659480E+01        -2.854059E+03        +2.542190E+02
3.656193E+01        -2.843762E+03        +2.533091E+02
3.652908E+01        -2.833560E+03        +2.523991E+02
3.649627E+01        -2.823363E+03        +2.514893E+02
3.646348E+01        -2.813261E+03        +2.505891E+02
3.643073E+01        -2.803164E+03        +2.496894E+02
3.639800E+01        -2.793163E+03        +2.487894E+02
3.636531E+01        -2.783067E+03        +2.478995E+02
3.633264E+01        -2.773067E+03        +2.470096E+02
3.630000E+01        -2.763166E+03        +2.461295E+02
3.626739E+01        -2.753267E+03        +2.452397E+02
3.623481E+01        -2.743368E+03        +2.443596E+02
3.620226E+01        -2.733469E+03        +2.434896E+02
3.616974E+01        -2.723669E+03        +2.426098E+02
3.613725E+01        -2.713871E+03        +2.417399E+02
3.610479E+01        -2.704171E+03        +2.408700E+02
3.607235E+01        -2.694471E+03        +2.400098E+02
3.603995E+01        -2.684773E+03        +2.391500E+02
3.600757E+01        -2.675171E+03        +2.382900E+02
3.597523E+01        -2.665574E+03        +2.374302E+02
3.594291E+01        -2.655974E+03        +2.365801E+02
3.591062E+01        -2.646474E+03        +2.357302E+02
3.587836E+01        -2.636974E+03        +2.348901E+02
3.584613E+01        -2.627476E+03        +2.340403E+02
3.581393E+01        -2.618076E+03        +2.332003E+02
3.578176E+01        -2.608677E+03        +2.323703E+02
3.574961E+01        -2.599276E+03        +2.315304E+02
3.571750E+01        -2.589977E+03        +2.307004E+02
3.568541E+01        -2.580677E+03        +2.298803E+02
3.565336E+01        -2.571380E+03        +2.290507E+02
3.562133E+01        -2.562179E+03        +2.282306E+02
3.558933E+01        -2.552980E+03        +2.274106E+02
3.555736E+01        -2.543880E+03        +2.265907E+02
3.552542E+01        -2.534683E+03        +2.257807E+02
3.549351E+01        -2.525583E+03        +2.249709E+02
3.546162E+01        -2.516581E+03        +2.241608E+02
3.542977E+01        -2.507485E+03        +2.233609E+02
3.539794E+01        -2.498484E+03        +2.225609E+02
3.536614E+01        -2.489583E+03        +2.217609E+02
3.533437E+01        -2.480585E+03        +2.209610E+02
3.530263E+01        -2.471685E+03        +2.201710E+02
3.527092E+01        -2.462886E+03        +2.193812E+02
3.523923E+01        -2.453987E+03        +2.185911E+02
3.520758E+01        -2.445188E+03        +2.178112E+02
3.517595E+01        -2.436388E+03        +2.170213E+02
3.514435E+01        -2.427687E+03        +2.162511E+02
3.511278E+01        -2.418988E+03        +2.154713E+02
3.508124E+01        -2.410290E+03        +2.147013E+02
3.504972E+01        -2.401589E+03        +2.139313E+02
3.501824E+01        -2.392990E+03        +2.131615E+02
3.498678E+01        -2.384391E+03        +2.123915E+02
3.495535E+01        -2.375890E+03        +2.116314E+02
3.492395E+01        -2.367292E+03        +2.108715E+02
3.489258E+01        -2.358891E+03        +2.101116E+02
3.486123E+01        -2.350392E+03        +2.093614E+02
3.482991E+01        -2.341892E+03        +2.086114E+02
3.479863E+01        -2.333494E+03        +2.078617E+02
3.476737E+01        -2.325193E+03        +2.071118E+02
3.473613E+01        -2.316793E+03        +2.063715E+02
3.470493E+01        -2.308494E+03        +2.056317E+02
3.467375E+01        -2.300194E+03        +2.048917E+02
3.464261E+01        -2.291995E+03        +2.041618E+02
3.461149E+01        -2.283697E+03        +2.034220E+02
3.458039E+01        -2.275495E+03        +2.027016E+02
3.454933E+01        -2.267395E+03        +2.019719E+02
3.451829E+01        -2.259197E+03        +2.012419E+02
3.448729E+01        -2.251098E+03        +2.005220E+02
3.445630E+01        -2.242996E+03        +1.998018E+02
3.442535E+01        -2.234996E+03        +1.990820E+02
3.439443E+01        -2.226998E+03        +1.983720E+02
3.436353E+01        -2.218998E+03        +1.976620E+02
3.433266E+01        -2.210999E+03        +1.969520E+02
3.430182E+01        -2.203099E+03        +1.962421E+02
3.427101E+01        -2.195201E+03        +1.955421E+02
3.424022E+01        -2.187300E+03        +1.948421E+02
3.420946E+01        -2.179401E+03        +1.941421E+02
3.417873E+01        -2.171600E+03        +1.934422E+02
3.414803E+01        -2.163802E+03        +1.927522E+02
3.411735E+01        -2.156002E+03        +1.920524E+02
3.408670E+01        -2.148300E+03        +1.913622E+02
3.405608E+01        -2.140601E+03        +1.906821E+02
3.402549E+01        -2.132903E+03        +1.899924E+02
3.399492E+01        -2.125301E+03        +1.893122E+02
3.396438E+01        -2.117603E+03        +1.886322E+02
3.393387E+01        -2.110002E+03        +1.879621E+02
3.390339E+01        -2.102502E+03        +1.872825E+02
