# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           P_int (e^4) [MeV^4]
4.000000E+01        -3.503600E+01
3.996407E+01        -3.490502E+01
3.992817E+01        -3.477404E+01
3.989230E+01        -3.464404E+01
3.985646E+01        -3.451404E+01
3.982066E+01        -3.438407E+01
3.978489E+01        -3.425509E+01
3.974915E+01        -3.412710E+01
3.971344E+01        -3.399910E+01
3.967777E+01        -3.387113E+01
3.964212E+01        -3.374412E+01
3.960651E+01        -3.361813E+01
3.957093E+01        -3.349214E+01
3.953539E+01        -3.336618E+01
3.949987E+01        -3.324117E+01
3.946439E+01        -3.311620E+01
3.942894E+01        -3.299222E+01
3.939352E+01        -3.286823E+01
3.935813E+01        -3.274523E+01
3.932277E+01        -3.262223E+01
3.928745E+01        -3.250025E+01
3.925215E+01        -3.237824E+01
3.921689E+01        -3.225725E+01
3.918166E+01        -3.213626E+01
3.914647E+01        -3.201530E+01
3.911130E+01        -3.189529E+01
3.907617E+01        -3.177532E+01
3.904106E+01        -3.165631E+01
3.900599E+01        -3.153732E+01
3.897095E+01        -3.141933E+01
3.893595E+01        -3.130137E+01
3.890097E+01        -3.118437E+01
3.886602E+01        -3.106736E+01
3.883111E+01        -3.095039E+01
3.879623E+01        -3.083441E+01
3.876138E+01        -3.071842E+01
3.872656E+01        -3.060343E+01
3.869177E+01        -3.048844E+01
3.865701E+01        -3.037444E+01
3.862228E+01        -3.026043E+01
3.858759E+01        -3.014646E+01
3.855292E+01        -3.003345E+01
3.851829E+01        -2.992147E+01
3.848369E+01        -2.980849E+01
3.844912E+01        -2.969749E+01
3.841458E+01        -2.958550E+01
3.838007E+01        -2.947451E+01
3.834559E+01        -2.936450E+01
3.831115E+01        -2.925354E+01
3.827673E+01        -2.914453E+01
3.824235E+01        -2.903456E+01
3.820799E+01        -2.892554E+01
3.817367E+01        -2.881756E+01
3.813938E+01        -2.870958E+01
3.810512E+01        -2.860159E+01
3.807089E+01        -2.849460E+01
3.803669E+01        -2.838761E+01
3.800252E+01        -2.828061E+01
3.796838E+01        -2.817461E+01
3.793427E+01        -2.806961E+01
3.790020E+01        -2.796365E+01
3.786615E+01        -2.785864E+01
3.783213E+01        -2.775463E+01
3.779815E+01        -2.765066E+01
3.776419E+01        -2.754665E+01
3.773027E+01        -2.744367E+01
3.769638E+01        -2.734069E+01
3.766251E+01        -2.723768E+01
3.762868E+01        -2.713569E+01
3.759488E+01        -2.703371E+01
3.756111E+01        -2.693272E+01
3.752736E+01        -2.683171E+01
3.749365E+01        -2.673072E+01
3.745997E+01        -2.663073E+01
3.742632E+01        -2.653074E+01
3.739270E+01        -2.643075E+01
3.735911E+01        -2.633175E+01
3.732555E+01        -2.623277E+01
3.729202E+01        -2.613477E+01
3.725852E+01        -2.603678E+01
3.722505E+01        -2.593879E+01
3.719161E+01        -2.584080E+01
3.715820E+01        -2.574479E+01
3.712482E+01        -2.564781E+01
3.709147E+01        -2.555181E+01
3.705815E+01        -2.545582E+01
3.702486E+01        -2.535983E+01
3.699160E+01        -2.526483E+01
3.695837E+01        -2.516984E+01
3.692517E+01        -2.507584E+01
3.689200E+01        -2.498185E+01
3.685886E+01        -2.488786E+01
3.682575E+01        -2.479486E+01
3.679267E+01        -2.470188E+01
3.675961E+01        -2.460886E+01
3.672659E+01        -2.451587E+01
3.669360E+01        -2.442487E+01
3.666064E+01        -2.433290E+01
3.662771E+01        -2.424190E+01
3.659480E+01        -2.414990E+01
3.656193E+01        -2.405990E+01
3.652908E+01        -2.396990E+01
3.649627E+01        -2.387992E+01
3.646348E+01        -2.378991E+01
3.643073E+01        -2.370093E+01
3.639800E+01        -2.361193E+01
3.636531E+01        -2.352295E+01
3.633264E+01        -2.343495E+01
3.630000E+01        -2.334695E+01
3.626739E+01        -2.325896E+01
3.623481E+01        -2.317195E+01
3.620226E+01        -2.308496E+01
3.616974E+01        -2.299797E+01
3.613725E+01        -2.291198E+01
3.610479E+01        -2.282599E+01
3.607235E+01        -2.273998E+01
3.603995E+01        -2.265499E+01
3.600757E+01        -2.256999E+01
3.597523E+01        -2.248501E+01
3.594291E+01        -2.240100E+01
3.591062E+01        -2.231700E+01
3.587836E+01        -2.223301E+01
3.584613E+01        -2.215001E+01
3.581393E+01        -2.206603E+01
3.578176E+01        -2.198402E+01
3.574961E+01        -2.190102E+01
3.571750E+01        -2.181903E+01
3.568541E+01        -2.173703E+01
3.565336E+01        -2.165505E+01
3.562133E+01        -2.157404E+01
3.558933E+01        -2.149305E+01
3.555736E+01        -2.141206E+01
3.552542E+01        -2.133206E+01
3.549351E+01        -2.125207E+01
3.546162E+01        -2.117207E+01
3.542977E+01        -2.109308E+01
3.539794E+01        -2.101309E+01
3.536614E+01        -2.093507E+01
3.533437E+01        -2.085609E+01
3.530263E+01        -2.077809E+01
3.527092E+01        -2.070010E+01
3.523923E+01        -2.062210E+01
3.520758E+01        -2.054510E+01
3.517595E+01        -2.046712E+01
3.514435E+01        -2.039110E+01
3.511278E+01        -2.031412E+01
3.508124E+01        -2.023812E+01
3.504972E+01        -2.016211E+01
3.501824E+01        -2.008613E+01
3.498678E+01        -2.001112E+01
3.495535E+01        -1.993613E+01
3.492395E+01        -1.986114E+01
3.489258E+01        -1.978615E+01
3.486123E+01        -1.971213E+01
3.482991E+01        -1.963813E+01
3.479863E+01        -1.956415E+01
3.476737E+01        -1.949115E+01
3.473613E+01        -1.941715E+01
3.470493E+01        -1.934514E+01
3.467375E+01        -1.927215E+01
3.464261E+01        -1.920016E+01
3.461149E+01        -1.912817E+01
3.458039E+01        -1.905616E+01
3.454933E+01        -1.898417E+01
3.451829E+01        -1.891315E+01
3.448729E+01        -1.884218E+01
3.445630E+01        -1.877117E+01
3.442535E+01        -1.870116E+01
3.439443E+01        -1.863118E+01
3.436353E+01        -1.856020E+01
3.433266E+01        -1.849117E+01
3.430182E+01        -1.842120E+01
3.427101E+01        -1.835220E+01
3.424022E+01        -1.828319E+01
3.420946E+01        -1.821518E+01
3.417873E+01        -1.814621E+01
3.414803E+01        -1.807820E+01
3.411735E+01        -1.801020E+01
3.408670E+01        -1.794319E+01
3.405608E+01        -1.787521E+01
3.402549E+01        -1.780821E+01
3.399492E+01        -1.774120E+01
3.396438E+01        -1.767519E+01
3.393387E+01        -1.760821E+01
3.390339E+01        -1.754221E+01
3.387293E+01        -1.747621E+01
