# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# Baseline: O(e^2) non-log + O(e^2) log summed into col 2;
# O(e^3) in col 3. Loader sums col 2 + col 3.
# T (MeV)           d^2P_int/dT^2 (e^2+e^3) [MeV^2] p^(2)   p^(3)
4.000000E+01        -3.056494E+01        +2.721800E+00
3.996407E+01        -3.050995E+01        +2.716901E+00
3.992817E+01        -3.045495E+01        +2.712001E+00
3.989230E+01        -3.040096E+01        +2.707102E+00
3.985646E+01        -3.034596E+01        +2.702202E+00
3.982066E+01        -3.029097E+01        +2.697402E+00
3.978489E+01        -3.023697E+01        +2.692603E+00
3.974915E+01        -3.018298E+01        +2.687704E+00
3.971344E+01        -3.012798E+01        +2.682904E+00
3.967777E+01        -3.007399E+01        +2.678105E+00
3.964212E+01        -3.001999E+01        +2.673304E+00
3.960651E+01        -2.996599E+01        +2.668505E+00
3.957093E+01        -2.991300E+01        +2.663705E+00
3.953539E+01        -2.985902E+01        +2.658907E+00
3.949987E+01        -2.980501E+01        +2.654107E+00
3.946439E+01        -2.975202E+01        +2.649308E+00
3.942894E+01        -2.969803E+01        +2.644608E+00
3.939352E+01        -2.964503E+01        +2.639809E+00
3.935813E+01        -2.959204E+01        +2.635109E+00
3.932277E+01        -2.953904E+01        +2.630409E+00
3.928745E+01        -2.948505E+01        +2.625610E+00
3.925215E+01        -2.943304E+01        +2.620909E+00
3.921689E+01        -2.938005E+01        +2.616210E+00
3.918166E+01        -2.932705E+01        +2.611510E+00
3.914647E+01        -2.927407E+01        +2.606812E+00
3.911130E+01        -2.922207E+01        +2.602112E+00
3.907617E+01        -2.916908E+01        +2.597512E+00
3.904106E+01        -2.911707E+01        +2.592812E+00
3.900599E+01        -2.906408E+01        +2.588212E+00
3.897095E+01        -2.901208E+01        +2.583513E+00
3.893595E+01        -2.896010E+01        +2.578914E+00
3.890097E+01        -2.890810E+01        +2.574215E+00
3.886602E+01        -2.885610E+01        +2.569614E+00
3.883111E+01        -2.880411E+01        +2.565015E+00
3.879623E+01        -2.875312E+01        +2.560416E+00
3.876138E+01        -2.870113E+01        +2.555817E+00
3.872656E+01        -2.864913E+01        +2.551217E+00
3.869177E+01        -2.859813E+01        +2.546617E+00
3.865701E+01        -2.854713E+01        +2.542018E+00
3.862228E+01        -2.849514E+01        +2.537517E+00
3.858759E+01        -2.844414E+01        +2.532919E+00
3.855292E+01        -2.839314E+01        +2.528418E+00
3.851829E+01        -2.834215E+01        +2.523819E+00
3.848369E+01        -2.829116E+01        +2.519319E+00
3.844912E+01        -2.824016E+01        +2.514820E+00
3.841458E+01        -2.819016E+01        +2.510320E+00
3.838007E+01        -2.813917E+01        +2.505721E+00
3.834559E+01        -2.808817E+01        +2.501221E+00
3.831115E+01        -2.803818E+01        +2.496821E+00
3.827673E+01        -2.798818E+01        +2.492322E+00
