# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           d^2P_int/dT^2 (e^4) [MeV^2]
4.000000E+01        -2.904300E-01
3.996407E+01        -2.898701E-01
3.992817E+01        -2.893102E-01
3.989230E+01        -2.887402E-01
3.985646E+01        -2.881802E-01
3.982066E+01        -2.876203E-01
3.978489E+01        -2.870704E-01
3.974915E+01        -2.865104E-01
3.971344E+01        -2.859504E-01
3.967777E+01        -2.854006E-01
3.964212E+01        -2.848405E-01
3.960651E+01        -2.842906E-01
3.957093E+01        -2.837406E-01
3.953539E+01        -2.831908E-01
3.949987E+01        -2.826408E-01
3.946439E+01        -2.820909E-01
3.942894E+01        -2.815410E-01
3.939352E+01        -2.809910E-01
3.935813E+01        -2.804410E-01
3.932277E+01        -2.799010E-01
3.928745E+01        -2.793611E-01
3.925215E+01        -2.788111E-01
3.921689E+01        -2.782711E-01
3.918166E+01        -2.777312E-01
3.914647E+01        -2.771913E-01
3.911130E+01        -2.766513E-01
3.907617E+01        -2.761214E-01
3.904106E+01        -2.755814E-01
3.900599E+01        -2.750415E-01
3.897095E+01        -2.745115E-01
3.893595E+01        -2.739817E-01
3.890097E+01        -2.734417E-01
3.886602E+01        -2.729116E-01
3.883111E+01        -2.723818E-01
3.879623E+01        -2.718519E-01
3.876138E+01        -2.713219E-01
3.872656E+01        -2.708019E-01
3.869177E+01        -2.702720E-01
3.865701E+01        -2.697520E-01
3.862228E+01        -2.692220E-01
3.858759E+01        -2.687021E-01
3.855292E+01        -2.681821E-01
3.851829E+01        -2.676522E-01
3.848369E+01        -2.671422E-01
3.844912E+01        -2.666223E-01
3.841458E+01        -2.661023E-01
3.838007E+01        -2.655824E-01
3.834559E+01        -2.650624E-01
3.831115E+01        -2.645525E-01
3.827673E+01        -2.640425E-01
3.824235E+01        -2.635226E-01
3.820799E+01        -2.630125E-01
3.817367E+01        -2.625026E-01
3.813938E+01        -2.619927E-01
3.810512E+01        -2.614828E-01
3.807089E+01        -2.609728E-01
3.803669E+01        -2.604728E-01
3.800252E+01        -2.599629E-01
3.796838E+01        -2.594530E-01
3.793427E+01        -2.589529E-01
3.790020E+01        -2.584531E-01
3.786615E+01        -2.579431E-01
3.783213E+01        -2.574430E-01
3.779815E+01        -2.569432E-01
3.776419E+01        -2.564431E-01
3.773027E+01        -2.559433E-01
3.769638E+01        -2.554533E-01
3.766251E+01        -2.549533E-01
3.762868E+01        -2.544534E-01
3.759488E+01        -2.539634E-01
3.756111E+01        -2.534735E-01
3.752736E+01        -2.529735E-01
3.749365E+01        -2.524835E-01
3.745997E+01        -2.519936E-01
3.742632E+01        -2.515036E-01
3.739270E+01        -2.510137E-01
3.735911E+01        -2.505237E-01
3.732555E+01        -2.500437E-01
3.729202E+01        -2.495538E-01
3.725852E+01        -2.490738E-01
3.722505E+01        -2.485839E-01
3.719161E+01        -2.481039E-01
3.715820E+01        -2.476240E-01
3.712482E+01        -2.471341E-01
3.709147E+01        -2.466540E-01
3.705815E+01        -2.461741E-01
3.702486E+01        -2.457040E-01
3.699160E+01        -2.452242E-01
3.695837E+01        -2.447442E-01
3.692517E+01        -2.442742E-01
3.689200E+01        -2.437943E-01
3.685886E+01        -2.433243E-01
3.682575E+01        -2.428445E-01
3.679267E+01        -2.423744E-01
3.675961E+01        -2.419044E-01
3.672659E+01        -2.414344E-01
3.669360E+01        -2.409645E-01
3.666064E+01        -2.404946E-01
3.662771E+01        -2.400247E-01
3.659480E+01        -2.395645E-01
3.656193E+01        -2.390947E-01
3.652908E+01        -2.386346E-01
3.649627E+01        -2.381648E-01
3.646348E+01        -2.377047E-01
3.643073E+01        -2.372448E-01
3.639800E+01        -2.367848E-01
3.636531E+01        -2.363249E-01
3.633264E+01        -2.358649E-01
3.630000E+01        -2.354050E-01
3.626739E+01        -2.349450E-01
3.623481E+01        -2.344850E-01
3.620226E+01        -2.340350E-01
3.616974E+01        -2.335752E-01
3.613725E+01        -2.331251E-01
3.610479E+01        -2.326653E-01
3.607235E+01        -2.322151E-01
3.603995E+01        -2.317653E-01
3.600757E+01        -2.313152E-01
3.597523E+01        -2.308654E-01
3.594291E+01        -2.304154E-01
3.591062E+01        -2.299654E-01
3.587836E+01        -2.295154E-01
3.584613E+01        -2.290753E-01
3.581393E+01        -2.286255E-01
3.578176E+01        -2.281855E-01
3.574961E+01        -2.277356E-01
3.571750E+01        -2.272955E-01
3.568541E+01        -2.268555E-01
3.565336E+01        -2.264157E-01
3.562133E+01        -2.259757E-01
3.558933E+01        -2.255357E-01
3.555736E+01        -2.250958E-01
3.552542E+01        -2.246558E-01
3.549351E+01        -2.242159E-01
3.546162E+01        -2.237857E-01
3.542977E+01        -2.233460E-01
3.539794E+01        -2.229159E-01
3.536614E+01        -2.224859E-01
3.533437E+01        -2.220461E-01
3.530263E+01        -2.216160E-01
3.527092E+01        -2.211861E-01
3.523923E+01        -2.207560E-01
3.520758E+01        -2.203262E-01
3.517595E+01        -2.198962E-01
3.514435E+01        -2.194662E-01
3.511278E+01        -2.190461E-01
3.508124E+01        -2.186163E-01
3.504972E+01        -2.181863E-01
3.501824E+01        -2.177663E-01
3.498678E+01        -2.173463E-01
3.495535E+01        -2.169165E-01
3.492395E+01        -2.164964E-01
3.489258E+01        -2.160764E-01
3.486123E+01        -2.156564E-01
3.482991E+01        -2.152364E-01
3.479863E+01        -2.148166E-01
3.476737E+01        -2.143966E-01
3.473613E+01        -2.139864E-01
3.470493E+01        -2.135666E-01
3.467375E+01        -2.131466E-01
3.464261E+01        -2.127366E-01
3.461149E+01        -2.123267E-01
3.458039E+01        -2.119067E-01
3.454933E+01        -2.114967E-01
3.451829E+01        -2.110867E-01
3.448729E+01        -2.106768E-01
3.445630E+01        -2.102667E-01
3.442535E+01        -2.098568E-01
3.439443E+01        -2.094469E-01
3.436353E+01        -2.090369E-01
3.433266E+01        -2.086368E-01
3.430182E+01        -2.082270E-01
3.427101E+01        -2.078171E-01
3.424022E+01        -2.074169E-01
3.420946E+01        -2.070169E-01
3.417873E+01        -2.066072E-01
3.414803E+01        -2.062071E-01
3.411735E+01        -2.058071E-01
3.408670E+01        -2.054071E-01
3.405608E+01        -2.050071E-01
3.402549E+01        -2.046072E-01
3.399492E+01        -2.042072E-01
3.396438E+01        -2.038170E-01
3.393387E+01        -2.034173E-01
3.390339E+01        -2.030173E-01
3.387293E+01        -2.026271E-01
3.384251E+01        -2.022275E-01
3.381210E+01        -2.018372E-01
3.378173E+01        -2.014473E-01
3.375138E+01        -2.010573E-01
3.372106E+01        -2.006575E-01
3.369077E+01        -2.002674E-01
3.366051E+01        -1.998775E-01
3.363027E+01        -1.994875E-01
3.360006E+01        -1.991074E-01
3.356988E+01        -1.987176E-01
3.353972E+01        -1.983276E-01
3.350959E+01        -1.979377E-01
3.347949E+01        -1.975575E-01
3.344941E+01        -1.971775E-01
3.341936E+01        -1.967877E-01
3.338934E+01        -1.964076E-01
3.335935E+01        -1.960277E-01
