# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# Baseline: O(e^2) non-log + O(e^2) log summed into col 2;
# O(e^3) in col 3. Loader sums col 2 + col 3.
# T (MeV)           dP_int/dT (e^2+e^3) [MeV^3] p^(2)   p^(3)
4.000000E+01        -4.074875E+02        +3.629000E+01
3.996407E+01        -4.063877E+02        +3.619202E+01
3.992817E+01        -4.052978E+02        +3.609403E+01
3.989230E+01        -4.042079E+02        +3.599703E+01
3.985646E+01        -4.031179E+02        +3.590003E+01
3.982066E+01        -4.020281E+02        +3.580405E+01
3.978489E+01        -4.009482E+02        +3.570706E+01
3.974915E+01        -3.998683E+02        +3.561107E+01
3.971344E+01        -3.987884E+02        +3.551507E+01
3.967777E+01        -3.977186E+02        +3.541910E+01
3.964212E+01        -3.966485E+02        +3.532409E+01
3.960651E+01        -3.955787E+02        +3.522910E+01
3.957093E+01        -3.945088E+02        +3.513411E+01
3.953539E+01        -3.934491E+02        +3.503914E+01
3.949987E+01        -3.923890E+02        +3.494513E+01
3.946439E+01        -3.913292E+02        +3.485115E+01
3.942894E+01        -3.902794E+02        +3.475716E+01
3.939352E+01        -3.892295E+02        +3.466417E+01
3.935813E+01        -3.881795E+02        +3.457018E+01
3.932277E+01        -3.871395E+02        +3.447717E+01
3.928745E+01        -3.860897E+02        +3.438419E+01
3.925215E+01        -3.850496E+02        +3.429218E+01
3.921689E+01        -3.840197E+02        +3.419919E+01
3.918166E+01        -3.829798E+02        +3.410720E+01
3.914647E+01        -3.819501E+02        +3.401623E+01
3.911130E+01        -3.809201E+02        +3.392423E+01
3.907617E+01        -3.799003E+02        +3.383324E+01
3.904106E+01        -3.788702E+02        +3.374124E+01
3.900599E+01        -3.778503E+02        +3.365124E+01
3.897095E+01        -3.768404E+02        +3.356025E+01
3.893595E+01        -3.758208E+02        +3.347028E+01
3.890097E+01        -3.748108E+02        +3.337929E+01
3.886602E+01        -3.738007E+02        +3.328928E+01
3.883111E+01        -3.727909E+02        +3.320030E+01
3.879623E+01        -3.717911E+02        +3.311131E+01
3.876138E+01        -3.707912E+02        +3.302133E+01
3.872656E+01        -3.697913E+02        +3.293233E+01
3.869177E+01        -3.687914E+02        +3.284433E+01
3.865701E+01        -3.678014E+02        +3.275534E+01
3.862228E+01        -3.668114E+02        +3.266734E+01
3.858759E+01        -3.658216E+02        +3.257936E+01
3.855292E+01        -3.648415E+02        +3.249135E+01
3.851829E+01        -3.638517E+02        +3.240436E+01
3.848369E+01        -3.628718E+02        +3.231737E+01
3.844912E+01        -3.619019E+02        +3.223038E+01
3.841458E+01        -3.609220E+02        +3.214339E+01
3.838007E+01        -3.599520E+02        +3.205640E+01
3.834559E+01        -3.589821E+02        +3.197039E+01
3.831115E+01        -3.580123E+02        +3.188442E+01
3.827673E+01        -3.570523E+02        +3.179842E+01
3.824235E+01        -3.560925E+02        +3.171244E+01
3.820799E+01        -3.551324E+02        +3.162742E+01
3.817367E+01        -3.541726E+02        +3.154244E+01
3.813938E+01        -3.532227E+02        +3.145745E+01
3.810512E+01        -3.522728E+02        +3.137246E+01
3.807089E+01        -3.513229E+02        +3.128847E+01
3.803669E+01        -3.503730E+02        +3.120348E+01
3.800252E+01        -3.494330E+02        +3.111948E+01
3.796838E+01        -3.484931E+02        +3.103648E+01
3.793427E+01        -3.475531E+02        +3.095249E+01
3.790020E+01        -3.466134E+02        +3.086951E+01
3.786615E+01        -3.456833E+02        +3.078651E+01
3.783213E+01        -3.447533E+02        +3.070351E+01
3.779815E+01        -3.438236E+02        +3.062053E+01
3.776419E+01        -3.428935E+02        +3.053852E+01
3.773027E+01        -3.419736E+02        +3.045554E+01
3.769638E+01        -3.410538E+02        +3.037355E+01
3.766251E+01        -3.401338E+02        +3.029154E+01
3.762868E+01        -3.392239E+02        +3.021055E+01
3.759488E+01        -3.383041E+02        +3.012956E+01
3.756111E+01        -3.373942E+02        +3.004759E+01
3.752736E+01        -3.364840E+02        +2.996657E+01
3.749365E+01        -3.355841E+02        +2.988657E+01
3.745997E+01        -3.346743E+02        +2.980559E+01
3.742632E+01        -3.337743E+02        +2.972559E+01
3.739270E+01        -3.328744E+02        +2.964560E+01
3.735911E+01        -3.319845E+02        +2.956561E+01
3.732555E+01        -3.310846E+02        +2.948661E+01
3.729202E+01        -3.301947E+02        +2.940663E+01
