# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           dP_int/dT (e^4) [MeV^3]
4.000000E+01        -3.661800E+00
3.996407E+01        -3.651402E+00
3.992817E+01        -3.641003E+00
3.989230E+01        -3.630603E+00
3.985646E+01        -3.620303E+00
3.982066E+01        -3.609905E+00
3.978489E+01        -3.599707E+00
3.974915E+01        -3.589408E+00
3.971344E+01        -3.579208E+00
3.967777E+01        -3.569010E+00
3.964212E+01        -3.558809E+00
3.960651E+01        -3.548711E+00
3.957093E+01        -3.538611E+00
3.953539E+01        -3.528514E+00
3.949987E+01        -3.518514E+00
3.946439E+01        -3.508416E+00
3.942894E+01        -3.498517E+00
3.939352E+01        -3.488518E+00
3.935813E+01        -3.478618E+00
3.932277E+01        -3.468718E+00
3.928745E+01        -3.458821E+00
3.925215E+01        -3.448919E+00
3.921689E+01        -3.439120E+00
3.918166E+01        -3.429321E+00
3.914647E+01        -3.419524E+00
3.911130E+01        -3.409824E+00
3.907617E+01        -3.400126E+00
3.904106E+01        -3.390425E+00
3.900599E+01        -3.380726E+00
3.897095E+01        -3.371127E+00
3.893595E+01        -3.361530E+00
3.890097E+01        -3.351930E+00
3.886602E+01        -3.342430E+00
3.883111E+01        -3.332932E+00
3.879623E+01        -3.323433E+00
3.876138E+01        -3.313935E+00
3.872656E+01        -3.304535E+00
3.869177E+01        -3.295136E+00
3.865701E+01        -3.285736E+00
3.862228E+01        -3.276336E+00
3.858759E+01        -3.267038E+00
3.855292E+01        -3.257737E+00
3.851829E+01        -3.248439E+00
3.848369E+01        -3.239140E+00
3.844912E+01        -3.229941E+00
3.841458E+01        -3.220741E+00
3.838007E+01        -3.211542E+00
3.834559E+01        -3.202442E+00
3.831115E+01        -3.193344E+00
3.827673E+01        -3.184244E+00
3.824235E+01        -3.175146E+00
